City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,udachny,66.4167,112.4,20.25,59,83,1.24,RU,1690135837
1,mo i rana,66.3128,14.1428,15.18,89,75,2.24,NO,1690135837
2,adamstown,-25.066,-130.1015,20.5,71,9,8.54,PN,1690135837
3,whitehorse,60.7161,-135.0538,23.29,46,3,2.15,CA,1690135714
4,port-aux-francais,-49.35,70.2167,6.25,82,81,17.69,TF,1690135837
5,gadzhiyevo,69.2551,33.3362,9.05,86,100,6.31,RU,1690135838
6,edinburgh of the seven seas,-37.0676,-12.3116,13.68,78,64,10.84,SH,1690135838
7,konarka,19.9,86.1167,27.22,81,34,4.42,IN,1690135838
8,vorkuta,67.5,64.0,14.76,98,100,2.52,RU,1690135838
9,blackmans bay,-43.0167,147.3167,9.18,78,92,1.89,AU,1690135838
10,shahr-e kord,32.3256,50.8644,27.95,16,87,4.11,IR,1690135838
11,tofol,5.3248,163.0078,28.6,77,81,5.09,FM,1690135839
12,iqaluit,63.7506,-68.5145,9.83,71,71,5.36,CA,1690135839
13,puerto el triunfo,13.2833,-88.55,32.36,59,80,4.93,SV,1690135839
14,thompson,55.7435,-97.8558,21.34,36,4,3.32,CA,1690135611
15,bethel,41.3712,-73.414,30.59,47,0,4.12,US,1690135839
16,port mathurin,-19.6833,63.4167,22.93,75,24,9.31,MU,1690135840
17,yellowknife,62.456,-114.3525,20.31,60,18,4.02,CA,1690135840
18,tionk essil,12.7856,-16.5217,29.95,65,95,5.19,SN,1690135840
19,kirensk,57.7853,108.1119,16.98,78,79,0.76,RU,1690135840
20,karratha,-20.7377,116.8463,16.88,30,0,8.86,AU,1690135840
21,jiuquan,39.7432,98.5174,27.79,16,25,1.29,CN,1690135840
22,st. john's,47.5649,-52.7093,19.4,84,88,4.55,CA,1690135792
23,lihue,21.9789,-159.3672,25.77,90,100,4.12,US,1690135841
24,martapura,-3.4167,114.85,25.05,100,51,0.51,ID,1690135841
25,motca,47.25,26.6167,19.74,55,65,1.31,RO,1690135841
26,whakatane,-37.9585,176.9854,7.8,77,54,1.25,NZ,1690135841
27,vorgashor,67.5833,63.95,14.81,98,100,2.22,RU,1690135841
28,turpan,42.9333,89.1667,38.13,13,89,2.21,CN,1690135842
29,la passe,45.5549,-0.8967,24.13,73,100,3.68,FR,1690135842
30,margaret river,-33.95,115.0667,9.76,78,0,3.74,AU,1690135842
31,haiku-pauwela,20.9219,-156.3051,26.69,84,75,8.23,US,1690135842
32,susuman,62.7833,148.1667,7.72,93,67,1.08,RU,1690135842
33,grytviken,-54.2811,-36.5092,-6.7,73,15,4.67,GS,1690135842
34,wailua homesteads,22.0669,-159.378,25.44,92,100,4.12,US,1690135843
35,bathsheba,13.2167,-59.5167,29.24,72,100,7.07,BB,1690135843
36,labytnangi,66.6572,66.4183,15.15,94,76,2.08,RU,1690135843
37,ankazoabo,-22.2833,44.5167,19.16,50,11,2.57,MG,1690135843
38,puerto deseado,-47.7503,-65.8938,3.54,63,26,7.91,AR,1690135843
39,longyearbyen,78.2186,15.6401,11.91,62,40,5.66,SJ,1690135843
40,hawaiian paradise park,19.5933,-154.9731,23.83,99,100,3.09,US,1690135843
41,boyolangu,-8.1181,111.8935,21.73,95,92,0.76,ID,1690135844
42,kuanda,56.3161,116.0806,16.8,75,99,1.45,RU,1690135844
43,badger,64.8,-147.5333,25.07,60,0,0.0,US,1690135844
44,carnarvon,-24.8667,113.6333,16.16,29,0,6.42,AU,1690135844
45,la mira,18.035,-102.3266,33.55,49,41,2.98,MX,1690135844
46,pisco,-13.7,-76.2167,22.03,68,100,3.09,PE,1690135844
47,sitka,57.0531,-135.33,13.94,88,100,2.57,US,1690135845
48,nar'yan-mar,67.6713,53.087,16.48,87,99,2.56,RU,1690135845
49,waat,51.1454,6.4958,22.32,75,20,5.14,DE,1690135845
50,hithadhoo,-0.6,73.0833,28.39,76,36,4.8,MV,1690135845
51,albany,42.6001,-73.9662,29.74,49,5,1.34,US,1690135845
52,puerto natales,-51.7236,-72.4875,1.67,79,11,1.12,CL,1690135845
53,jamestown,42.097,-79.2353,25.95,53,75,2.57,US,1690135841
54,mezhdurechensk,53.6942,88.0603,15.05,98,99,0.57,RU,1690135846
55,kavalerovo,44.2661,135.0572,20.24,100,100,0.93,RU,1690135846
56,damara,4.9608,18.7035,25.6,80,95,0.66,CF,1690135846
57,petropavlovsk-kamchatsky,53.0452,158.6483,14.88,77,45,6.54,RU,1690135846
58,nabire,-3.3667,135.4833,23.5,91,85,2.67,ID,1690135846
59,vanimo,-2.6741,141.3028,25.38,91,100,3.39,PG,1690135846
60,susanville,40.4163,-120.653,31.73,27,0,2.06,US,1690135847
61,aasiaat,68.7098,-52.8699,3.5,98,100,3.0,GL,1690135847
62,atafu village,-8.5421,-172.5159,28.3,78,4,6.53,TK,1690135847
63,west island,-12.1568,96.8225,24.99,83,95,6.17,CC,1690135847
64,kandhkot,28.244,69.1824,36.19,46,69,4.19,PK,1690135847
65,cabo san lucas,22.8909,-109.9124,34.78,74,20,5.66,MX,1690135776
66,kale,50.9581,1.8521,20.0,85,100,9.05,FR,1690135848
67,papatowai,-46.5619,169.4708,8.82,96,100,1.54,NZ,1690135848
68,vadso,70.0744,29.7487,9.09,81,100,6.69,NO,1690135848
69,cassilandia,-19.1133,-51.7342,31.85,23,0,1.97,BR,1690135848
70,boa vista,2.8197,-60.6733,24.99,88,75,2.57,BR,1690135848
71,novyy urgal,51.0736,132.5642,16.86,98,100,0.45,RU,1690135848
72,avarua,-21.2078,-159.775,25.03,100,75,4.63,CK,1690135849
73,mount isa,-20.7333,139.5,9.87,50,0,5.14,AU,1690135849
74,college,64.8569,-147.8028,25.11,61,40,0.0,US,1690135849
75,rikaze,29.25,88.8833,16.54,47,99,2.46,CN,1690135849
76,atar,20.5169,-13.0499,38.17,28,19,5.13,MR,1690135849
77,hermanus,-34.4187,19.2345,9.89,77,53,4.03,ZA,1690135849
78,vilhena,-12.7406,-60.1458,32.67,17,0,1.99,BR,1690135794
79,ushuaia,-54.8,-68.3,0.77,75,68,0.92,AR,1690135850
80,ballina,-28.8667,153.5667,10.99,68,83,5.85,AU,1690135850
81,puerto ayora,-0.7393,-90.3518,29.98,70,64,5.26,EC,1690135850
82,kaa-khem,51.6833,94.7333,16.64,63,75,1.42,RU,1690135850
83,valparaiso,-33.0393,-71.6273,16.13,59,0,3.09,CL,1690135738
84,yambio,4.5721,28.3955,24.64,67,62,1.52,SS,1690135850
85,kodiak,57.79,-152.4072,11.73,87,0,2.06,US,1690135851
86,chongwe,-15.3292,28.682,17.32,51,0,1.96,ZM,1690135851
87,tayzhina,53.6679,87.4362,14.81,98,93,0.8,RU,1690135851
88,mil'kovo,55.6078,37.7956,17.73,93,63,3.48,RU,1690135851
89,port elizabeth,-33.918,25.5701,13.16,76,0,6.69,ZA,1690135851
90,georgetown,5.4112,100.3354,27.96,89,20,0.0,MY,1690135673
91,mayya,61.7333,130.2811,15.62,82,67,1.15,RU,1690135851
